customer_id,age,gender,region,marital_status,occupation,education,dependents,account_type,account_age_months,num_products,avg_balance,is_dormant,mobile_banking_active,monthly_mobile_logins,ussd_usage,internet_banking_active,atm_txns_per_month,account_linkage_active,monthly_deposits,monthly_withdrawals,monthly_transfers,loan_repayment_history,complaints_count,days_since_last_complaint,satisfaction_rating,has_rel_manager,sector,monthly_fees,churned
5c0169c8-1656-4cf5-bb00-2ae03f2fc536,65,Female,West,Single,Student,College,2,Checking,58,2,10884.59,0,0,6,0,1,3,0,945.13,1281.77,719.94,0.035985460492177324,2,730,3,0,Other,3.71,0
3c269c5c-96ac-4a32-afba-ff480ae97a48,53,Female,North,Married,Unemployed,Bachelor,1,Checking,79,2,8041.29,1,1,8,0,0,2,0,770.49,2104.16,1481.85,0.9378144616645151,1,730,5,0,Technology,17.62,1
653f001f-9e36-40a0-9a03-f95760b215b6,18,Female,South,Divorced,Employed,Bachelor,3,Savings,87,2,5487.53,0,0,8,1,0,1,0,1395.8,618.18,1027.09,0.015638912916127734,0,279,1,1,Education,14.92,1
be308d56-8fe4-4b45-b364-8dc143d6b45e,23,Female,South,Married,Self-employed,Bachelor,1,Savings,114,2,3622.2,0,0,13,1,0,1,0,1521.59,650.33,1048.17,0.5337273290622825,1,730,4,0,Retail,15.62,0
db36ba51-ef95-4958-990c-42ad3c2f33ea,42,Female,West,Single,Employed,Bachelor,2,Checking,38,4,11030.75,0,1,8,1,1,0,0,3025.56,682.22,702.86,0.7476554040581047,0,730,4,0,Other,11.56,0
05daace2-61a1-406b-9e14-99529f46c225,27,Male,South,Single,Employed,Bachelor,0,Checking,46,4,6363.09,0,0,9,1,1,1,1,2366.48,435.01,484.49,0.40035452555778706,0,61,3,0,Other,5.83,1
cef50980-80f6-4343-96e9-88313d0f09fe,32,Female,East,Married,Employed,Master,1,Checking,17,1,1584.71,0,0,9,1,0,3,0,1627.22,1069.85,643.29,0.5068925520149009,0,730,2,0,Other,16.07,0
82dcdc84-936b-47a1-86f3-e1e2ccced1fe,72,Male,West,Divorced,Retired,High School,0,Checking,66,3,1387.06,0,0,6,1,1,4,0,2104.94,2219.89,825.95,0.9738657903852259,0,730,3,1,Education,7.0,0
3798d8de-c9ef-4172-9673-38cb845c11b3,61,Male,East,Married,Self-employed,High School,3,Savings,68,1,10141.92,0,1,9,1,0,2,0,1621.31,373.98,902.38,0.5758277708261151,1,730,5,0,Manufacturing,13.76,0
0f278104-9c0c-4c8c-b41b-d831c1fa194f,49,Male,East,Married,Self-employed,High School,2,Premium,69,2,2727.68,0,1,8,0,0,3,0,715.87,1382.45,899.11,0.6560799506084953,2,310,1,0,Other,11.96,0
